"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2015","A","2018",100.850271,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2019",102.056139,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2020",103.908849,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2021",105.029059,"E"
"AUT","GDPHRWKD","TOT","IDX2015","A","2018",101.548745,
"AUT","GDPHRWKD","TOT","IDX2015","A","2019",101.549358,
"AUT","GDPHRWKD","TOT","IDX2015","A","2020",104.017529,
"AUT","GDPHRWKD","TOT","IDX2015","A","2021",103.518707,
"BEL","GDPHRWKD","TOT","IDX2015","A","2018",100.107505,
"BEL","GDPHRWKD","TOT","IDX2015","A","2019",100.914212,
"BEL","GDPHRWKD","TOT","IDX2015","A","2020",104.101807,
"BEL","GDPHRWKD","TOT","IDX2015","A","2021",102.796649,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",102.342562,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",103.224148,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.96693,
"CAN","GDPHRWKD","TOT","IDX2015","A","2021",105.120649,
"CZE","GDPHRWKD","TOT","IDX2015","A","2018",104.496517,
"CZE","GDPHRWKD","TOT","IDX2015","A","2019",107.318049,
"CZE","GDPHRWKD","TOT","IDX2015","A","2020",109.900343,
"CZE","GDPHRWKD","TOT","IDX2015","A","2021",110.403252,
"DNK","GDPHRWKD","TOT","IDX2015","A","2018",105.350786,
"DNK","GDPHRWKD","TOT","IDX2015","A","2019",106.133113,
"DNK","GDPHRWKD","TOT","IDX2015","A","2020",107.227289,
"DNK","GDPHRWKD","TOT","IDX2015","A","2021",108.295185,
"FIN","GDPHRWKD","TOT","IDX2015","A","2018",103.698089,
"FIN","GDPHRWKD","TOT","IDX2015","A","2019",103.612412,
"FIN","GDPHRWKD","TOT","IDX2015","A","2020",103.940966,
"FIN","GDPHRWKD","TOT","IDX2015","A","2021",104.298407,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.736551,
"FRA","GDPHRWKD","TOT","IDX2015","A","2021",102.187438,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.375684,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",104.162791,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",105.18509,
"DEU","GDPHRWKD","TOT","IDX2015","A","2021",106.100411,
"GRC","GDPHRWKD","TOT","IDX2015","A","2018",93.804184,
"GRC","GDPHRWKD","TOT","IDX2015","A","2019",95.695779,
"GRC","GDPHRWKD","TOT","IDX2015","A","2020",98.196198,
"GRC","GDPHRWKD","TOT","IDX2015","A","2021",95.833755,
"HUN","GDPHRWKD","TOT","IDX2015","A","2018",104.807845,
"HUN","GDPHRWKD","TOT","IDX2015","A","2019",109.175273,
"HUN","GDPHRWKD","TOT","IDX2015","A","2020",109.52259,
"HUN","GDPHRWKD","TOT","IDX2015","A","2021",113.992793,
"ISL","GDPHRWKD","TOT","IDX2015","A","2018",104.538868,
"ISL","GDPHRWKD","TOT","IDX2015","A","2019",108.350518,
"ISL","GDPHRWKD","TOT","IDX2015","A","2020",108.447164,
"ISL","GDPHRWKD","TOT","IDX2015","A","2021",110.665796,
"IRL","GDPHRWKD","TOT","IDX2015","A","2018",106.290046,
"IRL","GDPHRWKD","TOT","IDX2015","A","2019",108.83146,
"IRL","GDPHRWKD","TOT","IDX2015","A","2020",127.922796,
"IRL","GDPHRWKD","TOT","IDX2015","A","2021",136.359543,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.323292,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.82174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",103.876571,
"ITA","GDPHRWKD","TOT","IDX2015","A","2021",102.57374,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.582134,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",102.659468,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",101.361752,
"JPN","GDPHRWKD","TOT","IDX2015","A","2021",102.430048,"E"
"KOR","GDPHRWKD","TOT","IDX2015","A","2018",111.478289,
"KOR","GDPHRWKD","TOT","IDX2015","A","2019",114.112628,
"KOR","GDPHRWKD","TOT","IDX2015","A","2020",117.754902,
"KOR","GDPHRWKD","TOT","IDX2015","A","2021",120.511819,
"LUX","GDPHRWKD","TOT","IDX2015","A","2018",98.797902,
"LUX","GDPHRWKD","TOT","IDX2015","A","2019",98.039568,
"LUX","GDPHRWKD","TOT","IDX2015","A","2020",101.325215,
"LUX","GDPHRWKD","TOT","IDX2015","A","2021",99.250677,
"MEX","GDPHRWKD","TOT","IDX2015","A","2018",101.781343,
"MEX","GDPHRWKD","TOT","IDX2015","A","2019",99.320868,
"MEX","GDPHRWKD","TOT","IDX2015","A","2020",98.86049,
"MEX","GDPHRWKD","TOT","IDX2015","A","2021",95.272732,
"NLD","GDPHRWKD","TOT","IDX2015","A","2018",100.064801,
"NLD","GDPHRWKD","TOT","IDX2015","A","2019",99.395132,
"NLD","GDPHRWKD","TOT","IDX2015","A","2020",98.314715,
"NLD","GDPHRWKD","TOT","IDX2015","A","2021",99.810204,
"NZL","GDPHRWKD","TOT","IDX2015","A","2018",101.205904,
"NZL","GDPHRWKD","TOT","IDX2015","A","2019",100.658257,
"NZL","GDPHRWKD","TOT","IDX2015","A","2020",102.090865,
"NZL","GDPHRWKD","TOT","IDX2015","A","2021",104.135974,"E"
"NOR","GDPHRWKD","TOT","IDX2015","A","2018",102.017169,
"NOR","GDPHRWKD","TOT","IDX2015","A","2019",101.245155,
"NOR","GDPHRWKD","TOT","IDX2015","A","2020",102.740881,
"NOR","GDPHRWKD","TOT","IDX2015","A","2021",104.238747,
"POL","GDPHRWKD","TOT","IDX2015","A","2018",114.261674,
"POL","GDPHRWKD","TOT","IDX2015","A","2019",119.703575,
"POL","GDPHRWKD","TOT","IDX2015","A","2020",118.207222,
"POL","GDPHRWKD","TOT","IDX2015","A","2021",119.029221,
"PRT","GDPHRWKD","TOT","IDX2015","A","2018",100.783377,
